feature,importance
avg_wage_dollars_diff,2696.306989762932
total_wage_bill_dollars_diff,1494.46525464952
max_wage_dollars_diff,1178.6349623128772
venue,824.6918863430619
xg_diff,791.4313507713377
xg_for_opponent_form_avg,647.3218696638942
total_wage_bill_dollars,624.882618278265
shots_ratio,624.1648076027632
defensive_actions,610.7245565876365
Saves_favor_form_sum,603.2557826936245
age_mean_diff,582.5652774348855
max_wage_dollars,574.0999807938933
Tackles_against_form_avg,568.5204012803733
Aerials Won_favor_form_avg,544.8140981644392
avg_wage_dollars,539.440371029079
xg_for_opponent_form_sum,523.5334392860532
xg_against_form_avg,514.126238938421
opp_max_wage_dollars,510.0227328725159
xg_for_form_avg,507.7027258127928
opp_avg_wage_dollars,490.4907026216388
Clearances_favor_opponent_form_avg,489.2428679764271
Tackles_favor_form_avg,486.9100458957255
opp_total_wage_bill_dollars,482.856884509325
Touches_against_form_avg,480.89655553177
xg_against_opponent_form_avg,466.6603479832411
Touches_favor_form_avg,466.0096488893032
Saves_favor_form_avg,459.2008684799075
min_wage_dollars_diff,454.0972325950861
Clearances_favor_form_avg,448.2593411542475
Tackles_favor_opponent_form_avg,444.883917927742
Long Balls_against_form_avg,441.21225640177727
Aerials Won_against_form_avg,434.9573897048831
Tackles_against_opponent_form_avg,431.11553128808737
Throw Ins_against_form_avg,428.941368650645
Passing Accuracy_against_form_avg,426.20540907233953
Saves_favor_opponent_form_avg,424.565801538527
Shots on Target_favor_form_avg,424.44953844696283
Aerials Won_favor_opponent_form_avg,423.08345977962017
Shots on Target_against_form_avg,421.0410683080554
Goal Kicks_against_form_avg,420.82014848664403
Touches_against_opponent_form_avg,420.72725669667125
age_mean,414.7371012493968
xg_against_form_sum,414.517982725054
Shots on Target_against_form_sum,409.5543810278177
Aerials Won_against_opponent_form_avg,408.3765844106674
opp_age_mean,389.1440958082676
Clearances_against_form_avg,388.8092247657478
Saves_favor_opponent_form_sum,388.65749172866344
Touches_favor_form_sum,380.90262466296554
Clearances_favor_form_sum,379.6609663069248
Saves_against_form_avg,379.0178476087749
Clearances_against_opponent_form_avg,376.3349208161235
Fouls_against_form_avg,375.3443964831531
Passing Accuracy_favor_form_sum,372.5771576464176
Long Balls_favor_opponent_form_avg,369.0640298128128
min_wage_dollars,367.08528542891145
Interceptions_against_form_sum,364.6041476801038
Long Balls_against_form_sum,360.2717885784805
Aerials Won_against_form_sum,359.4315892383456
Passing Accuracy_favor_form_avg,357.90076999366283
rest_days_form_avg,356.2516025528312
age_max_diff,354.7283765152097
Tackles_favor_form_sum,351.6888562068343
Shots on Target_against_opponent_form_avg,351.03506794571877
Goal Kicks_favor_opponent_form_avg,347.6782664358616
Throw Ins_favor_form_avg,347.4234593063593
Passing Accuracy_against_opponent_form_avg,347.36599815636873
Touches_favor_opponent_form_avg,346.2870909795165
Goal Kicks_against_form_sum,344.49624679237604
Shots on Target_favor_form_sum,339.5086662825197
Throw Ins_favor_form_sum,338.7209865897894
Saves_against_form_sum,336.285093806684
Tackles_against_form_sum,335.7187731079757
xg_for_form_sum,335.1772275529802
squad_size_diff,334.93078634887934
Touches_against_form_sum,332.86020073108375
Long Balls_favor_form_sum,331.9523927755654
attacking_pressure,330.4533767141402
Long Balls_against_opponent_form_avg,329.9552578628063
Clearances_against_form_sum,328.073181707412
Throw Ins_against_opponent_form_avg,324.1454384289682
Shots on Target_favor_opponent_form_avg,322.38035529106855
Tackles_favor_opponent_form_sum,322.1830586232245
Goal Kicks_against_opponent_form_avg,321.1871213186532
Goal Kicks_against_opponent_form_sum,320.8419229313731
Crosses_against_form_avg,316.55395444482565
Long Balls_favor_form_avg,315.8331201225519
Aerials Won_against_opponent_form_sum,315.4553671553731
xg_against_opponent_form_sum,315.4286604113877
Passing Accuracy_against_form_sum,315.07774778082967
Saves_against_opponent_form_avg,315.0733205266297
Clearances_against_opponent_form_sum,314.0428589694202
Fouls_favor_form_sum,313.70098650828004
Saves_against_opponent_form_sum,312.9941282942891
opp_min_wage_dollars,308.17489744350314
Interceptions_favor_opponent_form_avg,306.7236126102507
rest_days_form_sum,306.19975036382675
Touches_favor_opponent_form_sum,303.30985790491104
Clearances_favor_opponent_form_sum,301.6166428402066
Crosses_against_opponent_form_avg,300.62669252604246
Shots on Target_favor_opponent_form_sum,299.09383200109005
Long Balls_favor_opponent_form_sum,298.4274250715971
Interceptions_favor_form_avg,296.3203166089952
Crosses_against_form_sum,296.2959808856249
Throw Ins_favor_opponent_form_avg,292.81007450819016
Crosses_against_opponent_form_sum,291.826625443995
Possession_favor_form_sum,289.7993590682745
Goal Kicks_favor_form_avg,288.8465831950307
Fouls_favor_form_avg,285.6674042828381
Interceptions_against_form_avg,283.2050863355398
Touches_against_opponent_form_sum,282.83064130693674
Possession_against_opponent_form_sum,281.8098200187087
Possession_favor_form_avg,281.79488437995315
Interceptions_favor_opponent_form_sum,276.75156689062715
squad_size,274.5648996755481
opp_squad_size,273.1972769498825
Fouls_against_opponent_form_avg,272.1929147094488
Fouls_favor_opponent_form_avg,270.6236328780651
Corners_against_form_sum,267.13117726519704
age_max,267.10402984172106
Throw Ins_against_form_sum,265.5401708520949
opp_age_max,264.6716789007187
Long Balls_against_opponent_form_sum,263.62269327789545
Passing Accuracy_favor_opponent_form_sum,262.8200745731592
Fouls_against_form_sum,250.28394307009876
Aerials Won_favor_form_sum,250.04214254021645
Passing Accuracy_against_opponent_form_sum,249.99469690024853
Shots on Target_against_opponent_form_sum,248.76954448223114
Tackles_against_opponent_form_sum,248.41764830052853
Interceptions_favor_form_sum,248.0012892782688
Passing Accuracy_favor_opponent_form_avg,242.64327770844102
Offsides_against_form_avg,239.71490487456322
Throw Ins_favor_opponent_form_sum,239.577495444566
Corners_favor_form_avg,235.59257962927222
Crosses_favor_opponent_form_sum,235.20185251533985
Offsides_against_form_sum,232.05150226131082
Throw Ins_against_opponent_form_sum,230.06193894147873
Corners_against_form_avg,227.9540900439024
Crosses_favor_form_sum,227.68314882740378
Possession_favor_opponent_form_sum,227.47591900080442
Fouls_favor_opponent_form_sum,225.7320235222578
Offsides_favor_form_avg,223.6381060257554
rest_days_opponent_form_avg,220.85242769122124
Crosses_favor_form_avg,217.36773827672005
rest_days_opponent_form_sum,217.01490019261837
Aerials Won_favor_opponent_form_sum,215.89678882434964
Possession_against_form_sum,215.6650040782988
Corners_favor_opponent_form_avg,215.34121850878
Offsides_favor_opponent_form_avg,213.4461787007749
Possession_favor_opponent_form_avg,209.41302381455898
Fouls_against_opponent_form_sum,208.57791949436069
Interceptions_against_opponent_form_sum,205.02519043907523
Offsides_favor_form_sum,200.49716026335955
Interceptions_against_opponent_form_avg,193.00121620297432
Crosses_favor_opponent_form_avg,187.44703704863787
Possession_against_opponent_form_avg,181.87305099144578
Goal Kicks_favor_form_sum,181.19130482152104
Corners_favor_form_sum,178.4042153917253
Corners_favor_opponent_form_sum,178.22427831217647
age_min_diff,175.5886114537716
Corners_against_opponent_form_avg,166.15472288429737
rest_days_opponent,161.4402878843248
rest_days,160.88633989915252
Possession_against_form_avg,159.38791097328067
points_opponent_form_avg,158.07425631582737
goals_for_form_avg,155.45924759283662
goals_against_form_avg,152.3881122842431
goals_for_form_sum,150.62558622658253
Corners_against_opponent_form_sum,148.6780477911234
points_form_sum,148.3663983643055
Offsides_against_opponent_form_sum,147.49314550682902
goals_against_form_sum,144.03194077312946
goals_for_opponent_form_avg,139.6659180894494
Offsides_favor_opponent_form_sum,139.17930891364813
points_opponent_form_sum,136.00101555138826
Offsides_against_opponent_form_avg,135.25226517766714
points_form_avg,129.48138397932053
Goal Kicks_favor_opponent_form_sum,128.96769948676229
possession_dominance,116.89433494582772
goals_against_opponent_form_sum,114.77456267178059
goals_for_opponent_form_sum,110.55003144592047
goals_against_opponent_form_avg,80.6459909081459
age_min,73.0879894644022
FA Cup,57.28000044822693
Champions Lg,48.836570143699646
opp_age_min,47.691146701574326
Premier League,33.367046892642975
Sat,20.259048998355865
Sun,12.222828030586243
midweek,8.787000000476837
EFL Cup,7.8869099617004395
Europa Lg,0.0
Super Cup,0.0
Conf Lg,0.0
FA Community Shield,0.0
Community Shield,0.0
Fri,0.0
